"Scenario","SACE","Set_and_parameter","N","dim_x","Replacements","Estimator","Mean","Emp.SD","Est.SE","MSE","Coverage","k","Bias","EstCombi","protected","Pi_as","label","shape"
"A",3.5906,"B 3.5906",2000,3,"With","BC",3.5859,0.1406,0.1565,0.0198,0.967,1,-0.0046999999999997,"BC With","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",3.5906,"B 3.5906",2000,3,"With","WLS inter",3.5853,0.1419,0.1371,0.0202,0.937,1,-0.00529999999999964,"WLS inter","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",3.5906,"B 3.5906",2000,3,"","DingLu MA",3.8235,0.1686,NA,0.0827,NA,1,0.2329,"DingLu MA","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",4.8982,"B 4.8982",2000,5,"Wout","Crude",4.5247,0.3135,0.2245,0.2377,0.6,2,-0.3735,"Crude Wout","Low","0.5","SACE: 3.59, 4.9, 8.3","24"
"A",4.8982,"B 4.8982",2000,5,"Wout","OLS inter",4.887,0.1753,0.1735,0.0308,0.944,2,-0.0112000000000005,"OLS inter","Low","0.5","SACE: 3.59, 4.9, 8.3","24"
"A",4.8982,"B 4.8982",2000,5,"With","Crude",4.7412,0.2058,0.2351,0.067,0.926,2,-0.157,"Crude With","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",4.8982,"B 4.8982",2000,5,"With","BC",4.889,0.1824,0.2138,0.0333,0.98,2,-0.00919999999999987,"BC With","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",4.8982,"B 4.8982",2000,5,"With","WLS inter",4.8876,0.1824,0.1795,0.0333,0.946,2,-0.0106000000000002,"WLS inter","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",4.8982,"B 4.8982",2000,5,"","DingLu MA",4.9666,0.192,NA,0.0415,NA,2,0.0683999999999996,"DingLu MA","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",8.2981,"B 8.2981",2000,10,"Wout","Crude",7.7221,0.4834,0.3789,0.5653,0.648,3,-0.576,"Crude Wout","Low","0.5","SACE: 3.59, 4.9, 8.3","24"
"A",8.2981,"B 8.2981",2000,10,"Wout","OLS inter",8.2919,0.2379,0.2469,0.0566,0.958,3,-0.00619999999999976,"OLS inter","Low","0.5","SACE: 3.59, 4.9, 8.3","24"
"A",8.2981,"B 8.2981",2000,10,"With","Crude",7.9444,0.3776,0.4107,0.2675,0.886,3,-0.3537,"Crude With","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",8.2981,"B 8.2981",2000,10,"With","BC",8.2998,0.2444,0.3079,0.0597,0.989,3,0.00169999999999959,"BC With","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",8.2981,"B 8.2981",2000,10,"With","WLS inter",8.3001,0.2449,0.2514,0.0599,0.959,3,0.00200000000000067,"WLS inter","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"A",8.2981,"B 8.2981",2000,10,"","DingLu MA",8.506,0.2817,NA,0.1225,NA,3,0.2079,"DingLu MA","Low","0.5","SACE: 3.59, 4.9, 8.3","21"
"B",3.6358,"C 3.6358",2000,3,"Wout","Crude",3.6112,0.1999,0.1209,0.0405,0.772,1,-0.0246,"Crude Wout","Low","0.75","SACE: 3.64, 4.85, 8.34","24"
"B",3.6358,"C 3.6358",2000,3,"Wout","OLS inter",3.6246,0.1159,0.1047,0.0135,0.919,1,-0.0112000000000001,"OLS inter","Low","0.75","SACE: 3.64, 4.85, 8.34","24"
"B",3.6358,"C 3.6358",2000,3,"With","Crude",3.6142,0.1225,0.1263,0.0154,0.955,1,-0.0216000000000003,"Crude With","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",3.6358,"C 3.6358",2000,3,"With","BC",3.6365,0.1248,0.1266,0.0156,0.959,1,0.000699999999999701,"BC With","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",3.6358,"C 3.6358",2000,3,"With","WLS inter",3.6372,0.1222,0.1113,0.0149,0.926,1,0.00139999999999985,"WLS inter","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",3.6358,"C 3.6358",2000,3,"","DingLu MA",3.7166,0.1217,NA,0.0213,NA,1,0.0808,"DingLu MA","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",4.8538,"C 4.8538",2000,5,"Wout","Crude",4.8402,0.3015,0.1957,0.091,0.806,2,-0.0135999999999994,"Crude Wout","Low","0.75","SACE: 3.64, 4.85, 8.34","24"
"B",4.8538,"C 4.8538",2000,5,"Wout","OLS inter",4.8507,0.1458,0.142,0.0213,0.945,2,-0.00309999999999988,"OLS inter","Low","0.75","SACE: 3.64, 4.85, 8.34","24"
"B",4.8538,"C 4.8538",2000,5,"With","Crude",4.7051,0.1764,0.1974,0.0532,0.906,2,-0.1487,"Crude With","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",4.8538,"C 4.8538",2000,5,"With","BC",4.8511,0.1511,0.1757,0.0228,0.979,2,-0.00269999999999992,"BC With","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",4.8538,"C 4.8538",2000,5,"With","WLS inter",4.8538,0.1522,0.1461,0.0231,0.945,2,0,"WLS inter","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",4.8538,"C 4.8538",2000,5,"","DingLu MA",5.1548,0.1581,NA,0.1155,NA,2,0.301,"DingLu MA","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",8.3366,"C 8.3366",2000,10,"Wout","Crude",7.9869,0.3857,0.297,0.271,0.715,3,-0.3497,"Crude Wout","Low","0.75","SACE: 3.64, 4.85, 8.34","24"
"B",8.3366,"C 8.3366",2000,10,"Wout","OLS inter",8.3237,0.2046,0.2031,0.042,0.944,3,-0.0129000000000001,"OLS inter","Low","0.75","SACE: 3.64, 4.85, 8.34","24"
"B",8.3366,"C 8.3366",2000,10,"With","Crude",7.8427,0.3072,0.3223,0.3383,0.656,3,-0.493900000000001,"Crude With","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",8.3366,"C 8.3366",2000,10,"With","BC",8.3337,0.2105,0.2537,0.0443,0.98,3,-0.00290000000000035,"BC With","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",8.3366,"C 8.3366",2000,10,"With","WLS inter",8.3339,0.2104,0.2068,0.0442,0.941,3,-0.00270000000000081,"WLS inter","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
"B",8.3366,"C 8.3366",2000,10,"","DingLu MA",8.4324,0.2174,NA,0.0564,NA,3,0.0957999999999988,"DingLu MA","Low","0.75","SACE: 3.64, 4.85, 8.34","21"
